INSERT INTO TodoTask (taskPriority, title, dueDate, description, isCompleted, location, latLng) VALUES
('LOW', 'Finish reading book', 1716057600000, 'Complete the current book before the weekend.', 1, 'Home', '37.406800,-122.071600'),
('MEDIUM', 'Update client database', 1718390400000, 'Revise and update the client database.', 1, 'Office', '37.407500,-122.072400'),
('HIGH', 'Prepare for board meeting', 1718476800000, 'Complete preparation for the upcoming board meeting.', 0, 'Conference Room', '37.408400,-122.073700'),
('LOW', 'Clean kitchen area', 1718563200000, 'Organize and clean the office kitchen area.', 1, 'Office', '37.406900,-122.072100'),
('MEDIUM', 'Draft new marketing strategy', 1718649600000, 'Create a draft for the new marketing strategy.', 0, 'Office', '37.407200,-122.073600'),
('HIGH', 'Conduct client feedback session', 1718736000000, 'Organize and conduct a session for client feedback.', 1, 'Client Office', '37.408000,-122.072800'),
('LOW', 'Replace office chairs', 1718822400000, 'Order and replace old office chairs.', 0, 'Office Supply Store', '37.406600,-122.070800'),
('MEDIUM', 'Plan product launch event', 1718908800000, 'Organize the details for the product launch event.', 1, 'Event Venue', '37.407800,-122.073400'),
('HIGH', 'Finalize quarterly budget', 1718995200000, 'Complete and review the quarterly budget.', 0, 'Office', '37.408400,-122.072900'),
('LOW', 'Update office layout', 1719081600000, 'Revise and update the office layout.', 1, 'Office', '37.406700,-122.072300'),
('MEDIUM', 'Review employee feedback', 1719168000000, 'Assess and review feedback from employees.', 0, 'HR Office', '37.407500,-122.073500'),
('HIGH', 'Prepare year-end report', 1719254400000, 'Complete and submit the year-end report.', 1, 'Office', '37.408200,-122.072100'),
('LOW', 'Organize team outing', 1719340800000, 'Plan and arrange details for a team outing.', 0, 'Event Venue', '37.407600,-122.073600'),
('MEDIUM', 'Update IT systems', 1719427200000, 'Apply updates to IT systems.', 1, 'Office', '37.407200,-122.072800'),
('HIGH', 'Submit design proposal', 1719513600000, 'Complete and submit the design proposal.', 0, 'Office', '37.408400,-122.073300'),
('LOW', 'Clean meeting room', 1719600000000, 'Organize and clean the meeting room.', 1, 'Office', '37.406900,-122.071500'),
('MEDIUM', 'Review sales strategy', 1719686400000, 'Assess and revise the sales strategy.', 0, 'Office', '37.407500,-122.072900'),
('HIGH', 'Complete client onboarding', 1719772800000, 'Finalize and complete the client onboarding process.', 1, 'Client Office', '37.408300,-122.073600'),
('LOW', 'Buy office decorations', 1719859200000, 'Purchase new decorations for the office.', 0, 'Office Supply Store', '37.406700,-122.072500'),
('MEDIUM', 'Plan quarterly review meeting', 1719945600000, 'Organize and plan the quarterly review meeting.', 1, 'Conference Room', '37.407600,-122.071800'),
('HIGH', 'Complete project documentation', 1720032000000, 'Finalize and complete project documentation.', 0, 'Office', '37.408200,-122.072400'),
('LOW', 'Update calendar', 1720118400000, 'Revise and update the office calendar.', 1, 'Office', '37.406800,-122.071000');
